Age,MonthlyIncome,YearsWithCompany,ContractType,UsageHours,CustomerSatisfaction,NumComplaints,NumProducts,LoyaltyScore,LastActivityDays,Retention
56,3754,3,0,43.128426996682386,6.476238292317259,1,4,48.855905349277606,93,1
69,2472,0,0,31.134150243818638,9.047118628611653,4,2,73.48514071595227,101,1
46,2106,18,1,22.86115302999934,2.675931186779156,3,2,13.469038444809602,133,0
32,2803,18,0,35.57377955671347,2.522592334280554,2,5,86.7145425713069,192,0
60,9272,23,1,29.478903632656657,2.4245375621083505,4,1,6.940326935293612,317,1
25,7657,28,1,15.428314602916299,8.086744321212787,0,5,1.6744527856575726,94,0
38,7906,21,1,44.990104613210626,1.0258205520857233,0,3,65.97297819078062,228,0
56,6355,21,1,13.964956814301148,4.7320580795555305,1,1,20.707299969845597,271,0
36,3988,14,1,2.553777174794532,3.6152071708997333,4,4,42.85841474990129,24,0
40,8204,10,1,8.672310591824072,6.512162917692677,2,4,58.73802134557759,208,0
28,6776,21,1,9.757687977233617,1.1290366138765984,4,5,28.894562027587323,226,0
28,9516,23,0,49.395791866368945,3.9049072760824903,4,4,43.043867554829966,154,0
41,3361,4,0,22.692339103267116,2.1711385308043383,4,1,16.79700062475974,45,1
53,2234,2,1,28.52103549836354,5.113846918180111,0,1,73.17624400371984,160,0
57,1102,16,1,47.69632432264289,8.164625584852805,4,5,16.438773197549196,329,0
41,5912,15,1,20.226995270088622,3.483680212881331,4,2,91.71382433816468,244,1
20,1746,27,0,19.58638467854299,7.5624129201226244,2,1,5.851785218134569,330,0
39,5908,7,1,3.9884519601827106,9.322988893866983,4,2,40.7858585086282,140,1
19,4691,25,0,28.680281014490554,6.425509431273646,4,1,33.83423318587193,286,1
41,4064,19,0,28.809181453062475,1.9601989848209767,3,4,13.923268304645084,164,0
61,6412,2,0,32.63610822068669,8.800907299842494,1,2,31.609129220671957,304,0
47,2719,11,1,7.761597579823701,2.933236487251782,4,5,30.582920197771255,319,0
55,3202,7,0,29.431586232721703,5.742730157198543,0,3,8.688147086336045,310,0
19,6151,14,0,1.843828479583804,4.270150442865825,2,2,7.5671170179564315,13,1
38,7026,10,1,23.588787469549658,1.611250708850279,4,1,85.1006773779765,121,1
50,8737,12,0,31.852764565921028,1.5644242692193537,1,3,92.51038125528522,176,0
